theTimes theMdot theDWR theX theY theZ theAltitude theVx theVy theVz thePitch theYaw theAOA theMach thePdyn theFlux theThrust theDrag theAcc theAccProp theGuidFlag theVrel theFPARel theFPA theLON theLAT theNGV theDV_drag theDV_Prop theMass Flag_HSSep Flag_MPLSep stage thePOS_ECI_x thePOS_ECI_y thePOS_ECI_z theVEL_ECI_x theVEL_ECI_y theVEL_ECI_z theVREL_ECI_x theVREL_ECI_y theVREL_ECI_z
0.06092274928 2895.3 0 918001.0558 -5530520.516 3031388.662 0.009584646672 403.337109 66.66940908 0.1511774303 1.570796327 3.050848418 0.002589399461 0.0009247961679 0.06065905993 0.01908933663 8222570.532 0.19188976 14.95492406 14.95492441 1 0.3146988538 1.565391473 0.000769781195 -1.40631231 0.49850721 14.95492406 6.895353104e-09 0.9109489487 549823.6104 0 0 1 918001.0558 -5530520.516 3031388.662 403.337109 66.66940908 0.1511774303 0.04519281695 -0.2722836066 0.1511774303
0.07037627934 2895.3 0 918004.8688 -5530519.886 3031388.664 0.01279058773 403.3440791 66.62741348 0.174648523 1.570796327 3.050848418 0.0025892149 0.001068376049 0.08095650656 0.02943235591 8222570.752 0.2560940641 14.95566885 14.95566932 1 0.3635576331 1.565391657 0.0008892940291 -1.40631231 0.49850721 14.95566885 1.074672379e-08 1.052329297 549796.2396 0 0 1 918004.8688 -5530519.886 3031388.664 403.3440791 66.62741348 0.174648523 0.05220894892 -0.3145572629 0.174648523
0.0798298094 2895.3 0 918008.6819 -5530519.257 3031388.665 0.01645844989 403.3510503 66.58541176 0.1981229824 1.570796327 3.050848418 0.00258903064 0.001211976641 0.1041817834 0.04296701094 8222571.003 0.329557476 14.95641376 14.95641436 1 0.412423454 1.56539184 0.001008824063 -1.40631231 0.49850721 14.95641376 1.578188878e-08 1.193716688 549768.8688 0 0 1 918008.6819 -5530519.257 3031388.665 403.3510503 66.58541176 0.1981229824 0.05922600913 -0.3568370344 0.1981229824
0.0940101045 2895.3 0 918014.4016 -5530518.313 3031388.668 0.02282648906 403.3615088 66.52239772 0.2333409852 1.570796327 3.050848418 0.002588754812 0.00142741637 0.1445121345 0.07019465809 8222571.439 0.4571209606 14.95753134 14.95753217 1 0.4857353906 1.565392114 0.001188151362 -1.40631231 0.49850721 14.95753134 2.592780383e-08 1.405810983 549727.8125 0 0 1 918014.4016 -5530518.313 3031388.668 403.3615088 66.52239772 0.2333409852 0.06975334023 -0.4202681595 0.2333409852
0.1081903996 2895.3 0 918020.1214 -5530517.37 3031388.672 0.03023422137 403.3719695 66.45936993 0.2685665659 1.570796327 3.050848418 0.002588479661 0.001642902726 0.191437185 0.1070254808 8222571.947 0.6055368203 14.95864917 14.95865027 1 0.5590631769 1.565392388 0.001367517357 -1.40631231 0.49850721 14.95864917 3.963407984e-08 1.61792113 549686.7563 0 0 1 918020.1214 -5530517.37 3031388.672 403.3719695 66.45936993 0.2685665659 0.08028276073 -0.483713049 0.2685665659
0.1223706947 2895.3 0 918025.8414 -5530516.428 3031388.676 0.03868187219 403.3824323 66.39632838 0.3037997264 1.570796327 3.050848418 0.002588205186 0.001858435728 0.2449611819 0.1549151212 8222572.526 0.7748166753 14.95976726 14.95976867 1 0.6324068165 1.56539266 0.001546922045 -1.40631231 0.49850721 14.95976726 5.743934836e-08 1.830047135 549645.7001 0 0 1 918025.8414 -5530516.428 3031388.676 403.3824323 66.39632838 0.3037997264 0.09081427115 -0.5471717061 0.3037997264
0.1365509898 2895.3 0 918031.5616 -5530515.487 3031388.681 0.0481696669 403.3928973 66.33327307 0.3390404684 1.570796327 3.050848418 0.002587931386 0.002074015395 0.3050883704 0.2153210944 8222573.176 0.9649721384 14.96088561 14.96088737 1 0.7057663132 1.565392932 0.001726365425 -1.40631231 0.49850721 14.96088561 7.988266134e-08 2.042189001 549604.6439 0 0 1 918031.5616 -5530515.487 3031388.681 403.3928973 66.33327307 0.3390404684 0.101347872 -0.6106441341 0.3390404684
0.1578214324 2895.3 0 918040.1421 -5530514.077 3031388.688 0.06435212027 403.4085988 66.23866431 0.3919158006 1.570796327 3.050848418 0.002587521952 0.002397472432 0.4076694204 0.3325911032 8222574.285 1.289372484 14.96256363 14.96256597 1 0.8158352983 1.565393337 0.001995603038 -1.40631231 0.49850721 14.96256363 1.235085495e-07 2.36043155 549543.0596 0 0 1 918040.1421 -5530514.077 3031388.688 403.4085988 66.23866431 0.3919158006 0.117152194 -0.7058786034 0.3919158006
0.179091875 2895.3 0 918048.723 -5530512.669 3031388.697 0.08287615888 403.4243051 66.14402456 0.4448082012 1.570796327 3.050848418 0.002587114039 0.002721034568 0.5251315157 0.4862402666 8222575.555 1.660808199 14.96424222 14.96424525 1 0.9259399828 1.565393741 0.002264927693 -1.40631231 0.49850721 14.96424222 1.806065395e-07 2.678709811 549481.4753 0 0 1 918048.723 -5530512.669 3031388.697 403.4243051 66.14402456 0.4448082012 0.1329612224 -0.8011440752 0.4448082012
0.2003623177 2895.3 0 918057.3041 -5530511.263 3031388.707 0.1037425464 403.4400164 66.04935382 0.4977176761 1.570796327 3.050848418 0.002586707644 0.003044701867 0.6574889644 0.6812114154 8222576.985 2.079318384 14.9659214 14.96592519 1 1.036080379 1.565394142 0.002534339385 -1.40631231 0.49850721 14.9659214 2.530012507e-07 2.997023797 549419.891 0 0 1 918057.3041 -5530511.263 3031388.707 403.4400164 66.04935382 0.4977176761 0.148774959 -0.8964405604 0.4977176761
